Node	 Temp		 Humi	Itr_Pres	Itr_Temp	IR_Light	Vis_Light	Accel_X	Accel_Y		Voltage					Date
15		25,96		59,43	 1004,0		 26,0		 0034		  0391		 0185	 0161		 2814		Tue Jul 21 09:31:29 BRT 2015
3		26,30		68,79	 1006,0		 26,0		 0049		  0115		 0196	 0156		 2967		Tue Jul 21 09:31:38 BRT 2015
14		26,88		74,67	 1005,0		 26,0		 0049		  0115		 0209	 0138		 2746		Tue Jul 21 09:31:39 BRT 2015
12		26,04		70,33	 1005,0		 25,0		 0093		  0093		 0198	 0129		 2801		Tue Jul 21 09:31:49 BRT 2015
8		25,68		60,80	 1006,0		 26,0		 0115		  1039		 0197	 0154		 2872		Tue Jul 21 09:32:37 BRT 2015
4		25,00		57,23	 1005,0		 24,0		 0187		  0799		 0186	 0187		 2647		Tue Jul 21 09:33:24 BRT 2015
15		25,92		58,55	 1004,0		 26,0		 0034		  0391		 0185	 0165		 2814		Tue Jul 21 09:33:26 BRT 2015
3		26,22		65,09	 1006,0		 26,0		 0101		  0101		 0196	 0156		 2967		Tue Jul 21 09:33:35 BRT 2015
14		26,89		75,03	 1005,0		 26,0		 0101		  0101		 0209	 0134		 2746		Tue Jul 21 09:33:37 BRT 2015
12		25,87		66,97	 1005,0		 25,0		 0081		  0081		 0198	 0129		 2801		Tue Jul 21 09:33:46 BRT 2015
8		25,74		61,09	 1006,0		 26,0		 0115		  1039		 0196	 0150		 2872		Tue Jul 21 09:34:34 BRT 2015
4		25,00		56,08	 1005,0		 24,0		 0187		  0799		 0186	 0186		 2647		Tue Jul 21 09:35:21 BRT 2015
15		25,86		56,61	 1004,0		 25,0		 0036		  0407		 0185	 0165		 2814		Tue Jul 21 09:35:23 BRT 2015
3		26,08		61,21	 1006,0		 26,0		 0101		  0101		 0197	 0158		 2960		Tue Jul 21 09:35:32 BRT 2015
14		26,90		75,12	 1005,0		 26,0		 0101		  0101		 0209	 0133		 2740		Tue Jul 21 09:35:34 BRT 2015
12		25,70		63,99	 1005,0		 25,0		 0085		  0085		 0198	 0129		 2801		Tue Jul 21 09:35:43 BRT 2015
8		25,83		60,89	 1006,0		 26,0		 0115		  1039		 0197	 0150		 2872		Tue Jul 21 09:36:32 BRT 2015
4		24,94		54,78	 1005,0		 24,0		 0187		  0799		 0186	 0187		 2647		Tue Jul 21 09:37:19 BRT 2015
